State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Mango,Badami,Local,08/07/2025,2500,4500,3500,20
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Mango,Neelam,Local,02/07/2025,1000,2500,2000,20
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Mango,Neelam,Local,03/07/2025,1000,2000,1500,20
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Mango,Neelam,Local,04/07/2025,1500,2500,2000,20
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Mango,Neelam,Local,05/07/2025,1500,2500,2000,20
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Mango,Neelam,Local,19/07/2025,1000,2500,2000,20
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Mango,Other,Local,08/07/2025,3000,4000,3500,20
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Mango,Other,Local,09/07/2025,3000,4000,3500,20
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Mango,Other,Local,14/07/2025,3000,5000,4000,20
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Mango,Other,Local,24/07/2025,1600,2400,2000,20
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Mango,Raspuri,Local,02/07/2025,2500,3500,3000,20
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Mango,Totapuri,Local,08/07/2025,600,800,700,20
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Mango,Totapuri,Local,18/07/2025,600,1000,800,20
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Mango,Totapuri,Local,28/07/2025,600,900,700,20
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Apple,Apple,Large,07/07/2025,10000,15000,12000,17
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Apple,Apple,Large,19/07/2025,10000,15000,13000,17
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Apple,Apple,Large,01/08/2025,10000,16000,14000,17
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Apple,Apple,Large,10/07/2025,10000,16000,14000,17
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Apple,Apple,Large,16/07/2025,10000,16000,14000,17
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Apple,Apple,Large,22/07/2025,10000,16000,14000,17
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Banana,Elakki Bale,Local,19/07/2025,1000,6500,3750,19
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Banana,Nauti Bale,Local,03/07/2025,700,2500,1600,19
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Banana,Nauti Bale,Local,07/07/2025,700,2500,1600,19
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Banana,Nauti Bale,Local,17/07/2025,700,2800,1750,19
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Banana,Nauti Bale,Local,28/07/2025,700,2600,1650,19
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Banana,Nendra Bale,Local,14/07/2025,1000,3000,2000,19
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Banana,Nendra Bale,Local,16/07/2025,1000,3000,2000,19
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Banana,Nendra Bale,Local,19/07/2025,1000,3000,2000,19
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Banana,Nendra Bale,Local,22/07/2025,1000,3000,2000,19
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Banana,Nendra Bale,Local,24/07/2025,1000,3100,2050,19
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Banana,Nendra Bale,Local,31/07/2025,1000,3200,2100,19
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Banana,Pachha Bale,Local,05/07/2025,700,2300,1500,19
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Banana,Pachha Bale,Local,10/07/2025,600,2100,1350,19
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Banana,Pachha Bale,Local,14/07/2025,600,2300,1450,19
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Banana,Pachha Bale,Local,18/07/2025,600,2300,1450,19
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Banana,Pachha Bale,Local,22/07/2025,600,2200,1400,19
