State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Karnataka,Bangalore,Bangalore,Rice,Medium,FAQ,02/09/2016,3500,4100,3800,3
Karnataka,Bangalore,Bangalore,Rice,Medium,FAQ,06/09/2016,3500,4100,3800,3
Karnataka,Bangalore,Bangalore,Rice,Medium,FAQ,12/09/2016,3500,4100,3800,3
Karnataka,Bangalore,Bangalore,Rice,Medium,FAQ,17/09/2016,3500,4100,3800,3
Karnataka,Bangalore,Bangalore,Rice,Medium,FAQ,23/09/2016,3600,4200,3900,3
Karnataka,Bangalore,Bangalore,Rice,Medium,FAQ,22/10/2016,4400,4800,4600,3
Karnataka,Bangalore,Bangalore,Rice,Medium,FAQ,25/10/2016,4400,4800,4600,3
Karnataka,Bangalore,Bangalore,Rice,Medium,FAQ,28/10/2016,4400,4800,4600,3
Karnataka,Bangalore,Bangalore,Rice,Medium,FAQ,03/11/2016,4400,4800,4600,3
Karnataka,Bangalore,Bangalore,Rice,Medium,FAQ,11/11/2016,4400,4800,4600,3
Karnataka,Bangalore,Bangalore,Rice,Medium,FAQ,21/11/2016,4500,4800,4650,3
Karnataka,Bangalore,Bangalore,Rice,Medium,FAQ,25/11/2016,4200,4900,4550,3
Karnataka,Bangalore,Bangalore,Rice,Medium,FAQ,02/12/2016,4400,4600,4500,3
Karnataka,Bangalore,Bangalore,Rice,Medium,FAQ,06/12/2016,4400,4600,4500,3
Karnataka,Bangalore,Bangalore,Rice,Medium,FAQ,12/12/2016,4400,4600,4500,3
Karnataka,Bangalore,Bangalore,Rice,Medium,FAQ,24/12/2016,4300,4800,4550,3
Karnataka,Bangalore,Bangalore,Rice,Medium,FAQ,05/01/2016,4000,4200,4100,3
Karnataka,Bangalore,Bangalore,Rice,Medium,FAQ,08/01/2016,4000,4200,4100,3
Karnataka,Bangalore,Bangalore,Rice,Medium,FAQ,18/01/2016,4000,4300,4150,3
Karnataka,Bangalore,Bangalore,Rice,Medium,FAQ,22/01/2016,4000,4300,4150,3
Karnataka,Bangalore,Bangalore,Rice,Medium,FAQ,23/01/2016,4000,4300,4150,3
Karnataka,Bangalore,Bangalore,Rice,Medium,FAQ,25/01/2016,4000,4300,4150,3
Karnataka,Bangalore,Bangalore,Rice,Medium,FAQ,01/02/2016,4000,4300,4150,3
Karnataka,Bangalore,Bangalore,Rice,Medium,FAQ,12/02/2016,4000,4300,4150,3
Karnataka,Bangalore,Bangalore,Rice,Medium,FAQ,04/03/2016,4000,4300,4150,3
Karnataka,Bangalore,Bangalore,Rice,Medium,FAQ,16/03/2016,4000,4200,4100,3
Karnataka,Bangalore,Bangalore,Rice,Medium,FAQ,19/03/2016,4000,4200,4100,3
Karnataka,Bangalore,Bangalore,Rice,Medium,FAQ,26/03/2016,3800,4200,4000,3
Karnataka,Bangalore,Bangalore,Rice,Medium,FAQ,04/04/2016,3900,4200,4050,3
Karnataka,Bangalore,Bangalore,Rice,Medium,FAQ,12/04/2016,3900,4200,4050,3
Karnataka,Bangalore,Bangalore,Rice,Medium,FAQ,28/04/2016,3800,4100,3950,3
Karnataka,Bangalore,Bangalore,Rice,Medium,FAQ,30/04/2016,3600,4200,3900,3
Karnataka,Bangalore,Bangalore,Rice,Medium,FAQ,02/05/2016,3600,4200,3900,3
Karnataka,Bangalore,Bangalore,Rice,Medium,FAQ,11/05/2016,3600,4200,3900,3
Karnataka,Bangalore,Bangalore,Rice,Medium,FAQ,16/05/2016,3600,4200,3900,3
Karnataka,Bangalore,Bangalore,Rice,Medium,FAQ,31/05/2016,3600,4400,4000,3
Karnataka,Bangalore,Bangalore,Rice,Medium,FAQ,04/06/2016,3800,4400,4100,3
Karnataka,Bangalore,Bangalore,Rice,Medium,FAQ,08/06/2016,3800,4400,4100,3
Karnataka,Bangalore,Bangalore,Rice,Medium,FAQ,18/06/2016,3900,4400,4150,3
Karnataka,Bangalore,Bangalore,Rice,Medium,FAQ,20/06/2016,3900,4400,4150,3
Karnataka,Bangalore,Bangalore,Rice,Medium,FAQ,23/06/2016,3900,4400,4150,3
Karnataka,Bangalore,Bangalore,Rice,Medium,FAQ,27/06/2016,3900,4400,4150,3
Karnataka,Bangalore,Bangalore,Rice,Medium,FAQ,06/07/2016,3900,4400,4150,3
Karnataka,Bangalore,Bangalore,Rice,Medium,FAQ,12/07/2016,3900,4400,4150,3
Karnataka,Bangalore,Bangalore,Rice,Medium,FAQ,14/07/2016,3900,4400,4150,3
Karnataka,Bangalore,Bangalore,Rice,Medium,FAQ,02/08/2016,4000,4400,4200,3
Karnataka,Bangalore,Bangalore,Rice,Medium,FAQ,18/08/2016,4000,4400,4200,3
Karnataka,Bangalore,Bangalore,Rice,Medium,FAQ,02/01/2017,4200,4800,4500,3
Karnataka,Bangalore,Bangalore,Rice,Medium,FAQ,05/01/2017,4000,4600,4300,3
Karnataka,Bangalore,Bangalore,Rice,Medium,FAQ,10/01/2017,4000,4600,4300,3
Karnataka,Bangalore,Bangalore,Rice,Medium,FAQ,16/01/2017,4100,4500,4300,3
Karnataka,Bangalore,Bangalore,Rice,Medium,FAQ,18/01/2017,4000,4400,4200,3
Karnataka,Bangalore,Bangalore,Rice,Medium,FAQ,27/01/2017,4000,4300,4150,3
Karnataka,Bangalore,Bangalore,Rice,Medium,FAQ,31/01/2017,4000,4300,4150,3
Karnataka,Bangalore,Bangalore,Rice,Medium,FAQ,02/02/2017,4000,4300,4150,3
Karnataka,Bangalore,Bangalore,Rice,Medium,FAQ,03/02/2017,4000,4300,4150,3
Karnataka,Bangalore,Bangalore,Rice,Medium,FAQ,07/02/2017,4000,4300,4150,3
Karnataka,Bangalore,Bangalore,Rice,Medium,FAQ,15/02/2017,4000,4400,4200,3
Karnataka,Bangalore,Bangalore,Rice,Medium,FAQ,17/02/2017,4000,4400,4200,3
Karnataka,Bangalore,Bangalore,Rice,Medium,FAQ,03/03/2017,3800,4400,4100,3
Karnataka,Bangalore,Bangalore,Rice,Medium,FAQ,18/03/2017,4400,4600,4500,3
Karnataka,Bangalore,Bangalore,Rice,Medium,FAQ,21/03/2017,4400,4600,4500,3
Karnataka,Bangalore,Bangalore,Rice,Medium,FAQ,23/03/2017,4200,4400,4300,3
Karnataka,Bangalore,Bangalore,Rice,Medium,FAQ,28/03/2017,4200,4400,4300,3
Karnataka,Bangalore,Bangalore,Rice,Medium,FAQ,04/04/2017,4000,4400,4200,3
Karnataka,Bangalore,Bangalore,Rice,Medium,FAQ,05/04/2017,4000,4400,4200,3
Karnataka,Bangalore,Bangalore,Rice,Medium,FAQ,15/04/2017,4000,4400,4200,3
Karnataka,Bangalore,Bangalore,Rice,Medium,FAQ,26/04/2017,4000,4500,4300,3
Karnataka,Bangalore,Bangalore,Rice,Medium,FAQ,03/05/2017,4000,4500,4300,3
Karnataka,Bangalore,Bangalore,Rice,Medium,FAQ,05/05/2017,4000,4400,4200,3
Karnataka,Bangalore,Bangalore,Rice,Medium,FAQ,10/05/2017,4000,4400,4200,3
Karnataka,Bangalore,Bangalore,Rice,Medium,FAQ,12/05/2017,4000,4400,4200,3
Karnataka,Bangalore,Bangalore,Rice,Medium,FAQ,22/05/2017,4000,4200,4100,3
Karnataka,Bangalore,Bangalore,Rice,Medium,FAQ,24/05/2017,4000,4200,4100,3
Karnataka,Bangalore,Bangalore,Rice,Medium,FAQ,03/06/2017,4000,4400,4200,3
Karnataka,Bangalore,Bangalore,Rice,Medium,FAQ,08/06/2017,4000,4500,4250,3
Karnataka,Bangalore,Bangalore,Rice,Medium,FAQ,13/06/2017,4000,4500,4250,3
Karnataka,Bangalore,Bangalore,Rice,Medium,FAQ,03/07/2017,4000,4600,4300,3
